Lat,Long,Time
29.6260034,-82.341168,1681966991.125
29.6260949,-82.34123,1681967271.012
29.6260041,-82.3413169,1681995047.998
29.6260034,-82.341168,1682016649.822
29.6260034,-82.341168,1682017191.668
29.6260034,-82.341168,1682036091.332
29.6260028,-82.3411691,1682039676.438
29.6260028,-82.3411691,1682039996.656
29.6260028,-82.3411691,1682043697.752
29.6259996,-82.3411772,1682043920.0
29.6244805,-82.3406975,1682043936.0
29.6211184,-82.3399823,1682044001.0
29.6151985,-82.3411637,1682044016.0
29.6152001,-82.3411003,1682044071.0
29.6151985,-82.3411637,1682044136.0
29.6151985,-82.3411637,1682044200.999
29.6151985,-82.3411637,1682044266.0
29.6151923,-82.3411616,1682044330.999
29.6147673,-82.3427508,1682044396.0
29.6147484,-82.3430716,1682044398.0
29.6138871,-82.3541224,1682044460.999
29.6110699,-82.3610291,1682044525.999
29.6051252,-82.3691547,1682044595.999
29.6090867,-82.3713973,1682044660.999
29.609469,-82.3716751,1682044730.999
29.6080781,-82.3764946,1682044800.999
29.6138219,-82.3827419,1682044870.999
29.6184767,-82.3833372,1682044940.999
29.6184774,-82.3833255,1682045005.999
29.6218279,-82.3864925,1682045070.999
29.6218813,-82.3869639,1682045088.999
29.6250089,-82.387049,1682045155.999
29.6270532,-82.3863045,1682045220.999
29.6268741,-82.3861614,1682045275.0
29.6266143,-82.3864243,1682045286.0
29.6267997,-82.3863636,1682045360.999
29.6267004,-82.3865464,1682045492.473
29.6268355,-82.3864903,1682045665.0
29.6266719,-82.3862463,1682045817.436
29.6272657,-82.3863235,1682046603.018
29.6275405,-82.3855219,1682046727.126
29.6269461,-82.3861022,1682046972.0
29.6279476,-82.3830945,1682047009.355
29.6283002,-82.3834658,1682047129.022
29.6283167,-82.3832186,1682047322.714
29.6274686,-82.3825296,1682047644.058
29.6273931,-82.3825616,1682048087.642
29.6265075,-82.3840555,1682048386.021
29.6275197,-82.3834209,1682048514.505
29.6267462,-82.3859571,1682048531.505
29.6268129,-82.3865215,1682048703.127
29.6268272,-82.3864822,1682048840.999
29.6267767,-82.3858429,1682048960.998
29.6264708,-82.3854357,1682049030.999
29.6267462,-82.3859571,1682049082.999
29.6242034,-82.3830237,1682049100.999
29.6223003,-82.3815666,1682049152.999
29.6206917,-82.380347,1682049215.999
29.6206955,-82.3803498,1682049285.999
29.621835,-82.3771747,1682049350.999
29.6218314,-82.3771898,1682049420.999
29.621816,-82.3771758,1682049486.0
29.6220282,-82.3769359,1682049560.999
29.6220643,-82.3769193,1682049581.999
29.6221327,-82.3770822,1682049597.0
29.6220586,-82.3770541,1682049777.999
29.6222258,-82.3772681,1682049801.999
29.6231737,-82.3764617,1682049867.0
29.623763,-82.376464,1682049931.999
29.6256404,-82.3792415,1682049996.999
29.6277311,-82.3775126,1682050025.999
29.6274893,-82.3772011,1682050063.999
29.6273718,-82.3774123,1682050126.999
29.6277937,-82.3774497,1682050196.999
29.6278198,-82.3774299,1682050261.999
29.6278152,-82.3774334,1682050275.999
29.6278122,-82.3775551,1682050435.126
29.6278154,-82.3775046,1682050978.029
29.6275386,-82.3773838,1682058112.504
29.6271155,-82.3749323,1682058237.244
29.6267229,-82.3743881,1682058299.999
29.6275829,-82.3731444,1682058364.999
29.6266835,-82.3726241,1682058429.999
29.6217277,-82.3720501,1682058499.999
29.6197288,-82.3625223,1682058564.999
29.6197171,-82.3557707,1682058629.999
29.6137291,-82.3551076,1682058694.999
29.6146036,-82.3435539,1682058764.999
29.6147624,-82.3410737,1682058829.999
29.6219281,-82.3396864,1682058894.999
29.6266453,-82.3408868,1682058959.999
29.6261432,-82.3410724,1682058971.999
29.6260775,-82.3411193,1682059029.999
29.6260028,-82.3411691,1682059172.553
29.6260028,-82.3411691,1682067889.372
29.6260028,-82.3411691,1682068228.462
29.6261748,-82.3412831,1682072464.974
29.6260028,-82.3411691,1682073390.191
29.6259696,-82.3411131,1682073694.999
29.6259015,-82.3410931,1682076619.999
