Date,Time,GPSLongitude,GPSLatitude,Datetime
1/14/2023,10:56:50 PM,176.2823333,-37.69412222,1/14/2023 22:56:50
1/20/2023,12:53:06 PM,175.4553972,-39.42890278,1/20/2023 12:53:06
1/24/2023,10:39:14 PM,175.6588444,-40.53851111,1/24/2023 22:39:14
3/1/2023,9:25:02 PM,-82.34115556,29.62601944,3/1/2023 21:25:02
4/20/2023,1:03:11,-82.341168,29.6260034,4/20/2023 1:03:11
2023-04-20,1:07:51,-82.34123,29.6260949,4/20/2023 1:07:51
2023-04-20,8:50:48,-82.3413169,29.6260041,4/20/2023 8:50:48
2023-04-20,14:50:50,-82.341168,29.6260034,4/20/2023 14:50:50
2023-04-20,14:59:52,-82.341168,29.6260034,4/20/2023 14:59:52
4/20/2023,4:40:06 PM,-82.34117222,29.62600278,4/20/2023 16:40:06
2023-04-20,20:14:51,-82.341168,29.6260034,4/20/2023 20:14:51
2023-04-20,21:14:36,-82.3411691,29.6260028,4/20/2023 21:14:36
2023-04-20,21:19:57,-82.3411691,29.6260028,4/20/2023 21:19:57
2023-04-20,22:21:38,-82.3411691,29.6260028,4/20/2023 22:21:38
2023-04-20,22:25:20,-82.3411772,29.6259996,4/20/2023 22:25:20
2023-04-20,22:25:36,-82.3406975,29.6244805,4/20/2023 22:25:36
2023-04-20,22:26:41,-82.3399823,29.6211184,4/20/2023 22:26:41
2023-04-20,22:26:56,-82.3411637,29.6151985,4/20/2023 22:26:56
2023-04-20,22:27:51,-82.3411003,29.6152001,4/20/2023 22:27:51
2023-04-20,22:28:56,-82.3411637,29.6151985,4/20/2023 22:28:56
2023-04-20,22:30:01,-82.3411637,29.6151985,4/20/2023 22:30:01
2023-04-20,22:31:06,-82.3411637,29.6151985,4/20/2023 22:31:06
2023-04-20,22:32:11,-82.3411616,29.6151923,4/20/2023 22:32:11
2023-04-20,22:33:16,-82.3427508,29.6147673,4/20/2023 22:33:16
2023-04-20,22:33:18,-82.3430716,29.6147484,4/20/2023 22:33:18
2023-04-20,22:34:21,-82.3541224,29.6138871,4/20/2023 22:34:21
2023-04-20,22:35:26,-82.3610291,29.6110699,4/20/2023 22:35:26
2023-04-20,22:36:36,-82.3691547,29.6051252,4/20/2023 22:36:36
2023-04-20,22:37:41,-82.3713973,29.6090867,4/20/2023 22:37:41
2023-04-20,22:38:51,-82.3716751,29.609469,4/20/2023 22:38:51
2023-04-20,22:40:01,-82.3764946,29.6080781,4/20/2023 22:40:01
2023-04-20,22:41:11,-82.3827419,29.6138219,4/20/2023 22:41:11
2023-04-20,22:42:21,-82.3833372,29.6184767,4/20/2023 22:42:21
2023-04-20,22:43:26,-82.3833255,29.6184774,4/20/2023 22:43:26
2023-04-20,22:44:31,-82.3864925,29.6218279,4/20/2023 22:44:31
2023-04-20,22:44:49,-82.3869639,29.6218813,4/20/2023 22:44:49
2023-04-20,22:45:56,-82.387049,29.6250089,4/20/2023 22:45:56
2023-04-20,22:47:01,-82.3863045,29.6270532,4/20/2023 22:47:01
2023-04-20,22:47:55,-82.3861614,29.6268741,4/20/2023 22:47:55
2023-04-20,22:48:06,-82.3864243,29.6266143,4/20/2023 22:48:06
2023-04-20,22:49:21,-82.3863636,29.6267997,4/20/2023 22:49:21
2023-04-20,22:51:32,-82.3865464,29.6267004,4/20/2023 22:51:32
2023-04-20,22:54:25,-82.3864903,29.6268355,4/20/2023 22:54:25
2023-04-20,22:56:57,-82.3862463,29.6266719,4/20/2023 22:56:57
2023-04-20,23:10:03,-82.3863235,29.6272657,4/20/2023 23:10:03
2023-04-20,23:12:07,-82.3855219,29.6275405,4/20/2023 23:12:07
2023-04-20,23:16:12,-82.3861022,29.6269461,4/20/2023 23:16:12
2023-04-20,23:16:49,-82.3830945,29.6279476,4/20/2023 23:16:49
2023-04-20,23:18:49,-82.3834658,29.6283002,4/20/2023 23:18:49
2023-04-20,23:22:03,-82.3832186,29.6283167,4/20/2023 23:22:03
2023-04-20,23:27:24,-82.3825296,29.6274686,4/20/2023 23:27:24
2023-04-20,23:34:48,-82.3825616,29.6273931,4/20/2023 23:34:48
2023-04-20,23:39:46,-82.3840555,29.6265075,4/20/2023 23:39:46
2023-04-20,23:41:55,-82.3834209,29.6275197,4/20/2023 23:41:55
2023-04-20,23:42:12,-82.3859571,29.6267462,4/20/2023 23:42:12
2023-04-20,23:45:03,-82.3865215,29.6268129,4/20/2023 23:45:03
2023-04-20,23:47:21,-82.3864822,29.6268272,4/20/2023 23:47:21
2023-04-20,23:49:21,-82.3858429,29.6267767,4/20/2023 23:49:21
2023-04-20,23:50:31,-82.3854357,29.6264708,4/20/2023 23:50:31
2023-04-20,23:51:23,-82.3859571,29.6267462,4/20/2023 23:51:23
2023-04-20,23:51:41,-82.3830237,29.6242034,4/20/2023 23:51:41
2023-04-20,23:52:33,-82.3815666,29.6223003,4/20/2023 23:52:33
2023-04-20,23:53:36,-82.380347,29.6206917,4/20/2023 23:53:36
2023-04-20,23:54:46,-82.3803498,29.6206955,4/20/2023 23:54:46
2023-04-20,23:55:51,-82.3771747,29.621835,4/20/2023 23:55:51
2023-04-20,23:57:01,-82.3771898,29.6218314,4/20/2023 23:57:01
2023-04-20,23:58:06,-82.3771758,29.621816,4/20/2023 23:58:06
2023-04-20,23:59:21,-82.3769359,29.6220282,4/20/2023 23:59:21
2023-04-20,23:59:42,-82.3769193,29.6220643,4/20/2023 23:59:42
2023-04-20,23:59:57,-82.3770822,29.6221327,4/20/2023 23:59:57
2023-04-21,0:02:58,-82.3770541,29.6220586,4/21/2023 0:02:58
2023-04-21,0:03:22,-82.3772681,29.6222258,4/21/2023 0:03:22
2023-04-21,0:04:27,-82.3764617,29.6231737,4/21/2023 0:04:27
2023-04-21,0:05:32,-82.376464,29.623763,4/21/2023 0:05:32
2023-04-21,0:06:37,-82.3792415,29.6256404,4/21/2023 0:06:37
2023-04-21,0:07:06,-82.3775126,29.6277311,4/21/2023 0:07:06
2023-04-21,0:07:44,-82.3772011,29.6274893,4/21/2023 0:07:44
2023-04-21,0:08:47,-82.3774123,29.6273718,4/21/2023 0:08:47
2023-04-21,0:09:57,-82.3774497,29.6277937,4/21/2023 0:09:57
2023-04-21,0:11:02,-82.3774299,29.6278198,4/21/2023 0:11:02
2023-04-21,0:11:16,-82.3774334,29.6278152,4/21/2023 0:11:16
2023-04-21,0:13:55,-82.3775551,29.6278122,4/21/2023 0:13:55
2023-04-21,0:22:58,-82.3775046,29.6278154,4/21/2023 0:22:58
2023-04-21,2:21:53,-82.3773838,29.6275386,4/21/2023 2:21:53
2023-04-21,2:23:57,-82.3749323,29.6271155,4/21/2023 2:23:57
2023-04-21,2:25:00,-82.3743881,29.6267229,4/21/2023 2:25:00
2023-04-21,2:26:05,-82.3731444,29.6275829,4/21/2023 2:26:05
2023-04-21,2:27:10,-82.3726241,29.6266835,4/21/2023 2:27:10
2023-04-21,2:28:20,-82.3720501,29.6217277,4/21/2023 2:28:20
2023-04-21,2:29:25,-82.3625223,29.6197288,4/21/2023 2:29:25
2023-04-21,2:30:30,-82.3557707,29.6197171,4/21/2023 2:30:30
2023-04-21,2:31:35,-82.3551076,29.6137291,4/21/2023 2:31:35
2023-04-21,2:32:45,-82.3435539,29.6146036,4/21/2023 2:32:45
