Lat,Long,Time,Time (GMT Readable)
29.6260137,-82.34114771,1739034054,2/8/2025 17:00:54
29.6260137,-82.34114771,1739034219,2/8/2025 17:03:39
29.62148048,-82.33990274,1739035198,2/8/2025 17:19:58
29.61685512,-82.38414474,1739035539,2/8/2025 17:25:39
29.6218665,-82.38540837,1739035981,2/8/2025 17:33:01
29.62605458,-82.39110286,1739037320,2/8/2025 17:55:20
29.68839898,-82.44453819,1739037654,2/8/2025 18:00:54
29.68285069,-82.43188678,1739037976,2/8/2025 18:06:16
29.68285069,-82.43188678,1739041556,2/8/2025 19:05:56
29.68285069,-82.43188678,1739041902,2/8/2025 19:11:42
28.64516014,-81.38700255,1739064797,2/9/2025 1:33:17
28.66364624,-81.38128757,1739064876,2/9/2025 1:34:36
28.66364624,-81.38128757,1739065207,2/9/2025 1:40:07
28.66364624,-81.38128757,1739065213,2/9/2025 1:40:13
28.66364624,-81.38128757,1739065319,2/9/2025 1:41:59
28.66364624,-81.38128757,1739065361,2/9/2025 1:42:41
28.66364624,-81.38128757,1739066686,2/9/2025 2:04:46
28.6620756,-81.38609513,1739066756,2/9/2025 2:05:56
28.65831603,-81.38893388,1739067178,2/9/2025 2:12:58
28.58774446,-81.37672005,1739067479,2/9/2025 2:17:59
28.53531283,-81.40141976,1739067779,2/9/2025 2:22:59
28.54882886,-81.47955163,1739068080,2/9/2025 2:28:00
28.54677453,-81.55999474,1739068381,2/9/2025 2:33:01
28.55336166,-81.65508496,1739068682,2/9/2025 2:38:02
28.55336166,-81.65508496,1739068708,2/9/2025 2:38:28
28.60490021,-81.72353385,1739068982,2/9/2025 2:43:02
28.65092597,-81.80511141,1739069283,2/9/2025 2:48:03
28.70275098,-81.88310907,1739069584,2/9/2025 2:53:04
28.76659451,-81.9504072,1739069884,2/9/2025 2:58:04
28.82443848,-82.02513867,1739070185,2/9/2025 3:03:05
28.87512272,-82.09233301,1739070486,2/9/2025 3:08:06
28.95454103,-82.12066232,1739070786,2/9/2025 3:13:06
29.02997081,-82.15871698,1739071087,2/9/2025 3:18:07
29.10878346,-82.18478648,1739071388,2/9/2025 3:23:08
29.19220137,-82.18459408,1739071688,2/9/2025 3:28:08
29.27196314,-82.19480807,1739071989,2/9/2025 3:33:09
29.35604875,-82.22126632,1739072289,2/9/2025 3:38:09
29.42610866,-82.26130066,1739072590,2/9/2025 3:43:10
29.49741492,-82.29343208,1739072890,2/9/2025 3:48:10
29.54208358,-82.31631013,1739073190,2/9/2025 3:53:10
29.61000562,-82.34149183,1739073490,2/9/2025 3:58:10
29.6260199,-82.34117698,1739074653,2/9/2025 4:17:33
